Gabriela Hunnicutt,Conteúdo,CEO @ Bold Conteúdo,br.linkedin.com/in/gabyhunnicutt/pt,SP
Gabriela Terra,"Planejamento, Social Media, Estratégia",Strategy Consultant @ FutureBrandSP,br.linkedin.com/in/gabrielaterra/pt,SP
Gal Barradas ,"Mulheres na presidência das empresas, Inovação",CO-CEO @ BETC,br.linkedin.com/in/galbarradas/pt,SP
Gina Gothiff,"Inovação, Start-ups, Tecnologia",Head of Marketing @ Duolingo,www.linkedin.com/in/ginafrombrazil/pt,NY
Helene Hermes,"Gestão de equipes, Inovação, PR",Human Development Leader @ FLAGCX,br.linkedin.com/in/helenehermes/pt,SP
Isabelle de Paula,"Planejamento, Social, Conteúdo, Gestão de equipe",Head of Social Media @ DM9,br.linkedin.com/in/bellepaula/pt,SP
Ivanise Gomes,"TI, liderança feminina, governança, LSS",Gerente de TI LATAM,https://br.linkedin.com/in/ivanise,SP
Jacqueline Lafoufla,"Jornalismo digital, Conteúdo",Editora @ Brainstorm9,br.linkedin.com/in/jacquelinelafloufa/pt,SP
Janaina Borges Silva,"Conteúdo, Digital, Marketing, Technology, Branding",President & Director of Content @ Contagious Brasil,https://www.linkedin.com/pub/janaina-borges-silva/25/464/8a,SP
Jessica Grecco,"Planejamento, Conteúdo, Influenciadores",Co-fundadora @ Indiretas do Bem,br.linkedin.com/in/jessicagrecco/pt,SP
Joanna Monteiro,Criação,VP de Criação @ FCB Brasil,br.linkedin.com/pub/joanna-monteiro/57/390/487/pt,SP
Juliana Constantino,"Criação, UX, Facebook, Instagram",Creative Strategist @ Facebook/Instagram,br.linkedin.com/pub/juliana-constantino/2/444/488/pt,SP
Juliana de Faria,"Publicidade para Mulheres, Feminismo, Redes Sociais",Fundadora @ Think Olga e Think Eva,,SP
Juliana Mendonça,"Criação, Redação, Projetos Digitais",Fundadora @ ContinueCurioso,https://br.linkedin.com/in/jumendonca,SP
Karina Imoto,"Pesquisa, Insights, Trends",Diretora de Pesquisa & Inovação @ Africa,https://br.linkedin.com/pub/karina-imoto/59/745/5b4,SP
Karina Barcellos,"PR integrado, conteúdo de marca, social media",Senior VP of Strategy @ Smart PR,br.linkedin.com/in/karinabarcellos,RS
Katia Furtado,"Métricas, Mídia, Social Media",Talk School of Languages,br.linkedin.com/in/katiafurtado/pt,SP
Lais Morais,Gestão de Projetos,Coordenadora de Marketing Digital @ Natura,br.linkedin.com/pub/lais-morais/14/387/699/pt,SP
Lalai Persson,"Criação, Conteúdo, Social Media",Sócia @ Remix,br.linkedin.com/in/lalai/pt,SP
Larissa Magrisso,"Conteúdo Estratégico, Real-time",Diretora de Conteúdo @ W3Haus,br.linkedin.com/in/larimagr/pt,RS
Larissa Perroni,"Conteúdo, Planejamento",Digital Strategist @ W+K,br.linkedin.com/pub/larissa-perroni/20/856/b58/pt,SP
Larissa Andrade,"Social Media, Conteúdo",Social Media Strategist @ Ovelha Negra,br.linkedin.com/in/andradelarissaa,PA
Larissa Régia,"Social Media, Conteúdo",Brand Connector @ Maximize,br.linkedin.com/in/larissaregia/pt,MA
Laura Kroeff,"Planejamento, Pesquisa",Diretora de Planejamento @ W3Haus,br.linkedin.com/pub/laura-kroeff/a6/994/b19/pt,SP
Lidiane Faria,"Relacionamento, PR, Conteúdo",Coordenadora Mídias Digitais @ Cásper Líbero,br.linkedin.com/in/lidifaria/pt,SP
Liliane Ferrari,"Redes Sociais, Influenciadores, Conteúdo","Curadora @ Share, Professora e Palestrante",br.linkedin.com/in/lilianeferrari/pt,SP
Lilian Gonçalves,Neuromakertin e links patrocinados,Creative Strategist Manager @ Yahoo,https://www.linkedin.com/profile/view?id=52860284,SP
Lívia Cunha,"Criação, Redação, Comportamento",Redatora @ ArtPlan,br.linkedin.com/in/liviacunha/pt,SP
Lígia Krás,"Pesquisa, Comportamento, Tendências",Colunista @ Revista Elle,br.linkedin.com/pub/lígia-krás/67/b12/112/pt,SP
Livia Lanzoni ,"Planejamento, Conteúdo",Digital Strategist @ New Vegas,br.linkedin.com/in/livialanzoni/pt,SP
Luciana Banzanella,"Planejamento, Social Media",Head of Planning & Social Media @ AG2,br.linkedin.com/pub/luciana-bazanella/15/603/194/pt,SP
Luciana Barrichelo,"Consultoria, pesquisas, estudos de marca e mercado (on-off)",Sócia Fundadora @ Lemon,https://br.linkedin.com/pub/luciana-barrichelo/0/170/263,SP
Luana Baio,"Métricas, Monitoramento, SocialBakers",Enablement Consultant @Sprinklr / SCUP,br.linkedin.com/in/luanabaio/pt,SP
Luana Segatto,"Mobile, Mobile Marketing, Mercado Móvel no Brasil, Pagamentos Mobile",Coordenadora de Marketing e Mobile @ Pagtel,http://br.linkedin.com/in/luanasegatto,SP
Lúcia Freitas,"Jornalismo, Conteúdo, Comunidades, Feminismo",Diretora @ Conectiva Comunicação e Fundadora @ LuluzinhaCamp,https://br.linkedin.com/in/luciafreitas,SP
Luciana Cardoso,Criação,Diretora de Criação @ Isobar,br.linkedin.com/pub/luciana-cardoso/16/a63/236/en,SP
Luciana Haguiara,Criação,Diretora de Criação @ Almap,br.linkedin.com/in/haguiara/pt,SP
Ludmilla Rossi,"Liderança, Mercados regionais, Games, Audiovisual, Conteúdo",Sócia-diretora de planejamento e criação @ Mkt Virtual,www.linkedin.com/in/ludmillarossi,SP
Luisa Martini,"Empreendedorismo, Inovação, Digital",Fundadora @ FLAGCX,br.linkedin.com/pub/luisa-martini/2/446/877/pt,SP
Luisa Barwinsky,Conteúdo,Content Strategist @ MOT,br.linkedin.com/in/luisabarwinski/pt,PR
Luiza Voll,"Projetos Digitais, Conteúdo",Co-fundadora @ Instamission,https://br.linkedin.com/in/luizavoll,SP
Luna Gutierrez ,"CRM, Planejamento, Marketing Direto",Sócia @ Repense,br.linkedin.com/pub/luna-gutierres/6/aba/1ba/pt,SP
Malu Lopes,Gestão de pessoas e diversidade na contratação,Gerente de Gestão de Pessoas @ Facebook,,SP
Manoela Neuenschwander ,"Mídia, Operações, Digital",Diretora de Operações @ CuboCC,br.linkedin.com/pub/manoela-neuenschwander/19/4ba/788/pt,SP
Manu Barem,"Conteúdo, Tendências, Social",Editora @ Buzzfeed Brasil,br.linkedin.com/in/manubarem/pt,SP
Marcelle Santos,"Planejamento, Conteúdo",Gerente de Planejamento @ F.biz,br.linkedin.com/pub/marcelle-santos/17/8a6/755/pt,SP
